rank,country,population
1,China,"1,402,175,360"
2,India,"1,360,939,598"
3,United States,"329,613,319"
4,Indonesia,"266,911,900"
5,Pakistan,"219,258,520"
6,Brazil,"211,380,843"
7,Nigeria,"206,139,587"
8,Bangladesh,"168,428,180"
9,Russia,"146,745,098"
10,Mexico,"126,577,691"
11,Japan,"125,950,000"
12,Philippines,"108,530,464"
13,Egypt,"100,239,377"
14,Ethiopia,"98,665,000"
15,Vietnam,"96,208,984"
16,DR Congo,"89,561,404"
17,Iran,"83,358,346"
18,Turkey,"83,154,997"
19,Germany,"83,149,300"
20,France,"67,076,000"
21,Thailand,"66,492,480"
22,United Kingdom,"66,435,550"
23,Italy,"60,238,522"
24,South Africa,"58,775,022"
25,Tanzania,"55,890,747"
26,Myanmar,"54,339,766"
27,South Korea,"51,780,579"
28,Colombia,"49,395,678"
29,Kenya,"47,564,296"
30,Spain,"47,100,396"
31,Argentina,"44,938,712"
32,Algeria,"43,000,000"
33,Sudan,"42,419,490"
34,Ukraine,"41,879,904"
35,Uganda,"40,299,300"
36,Iraq,"39,127,900"
37,Poland,"38,379,000"
38,Canada,"37,990,790"
39,Morocco,"35,866,346"
40,Saudi Arabia,"34,218,169"
41,Uzbekistan,"34,122,330"
42,Malaysia,"32,747,760"
43,Afghanistan,"32,225,560"
44,Venezuela,"32,219,521"
45,Peru,"32,131,400"
46,Angola,"31,127,674"
47,Ghana,"30,280,811"
48,Mozambique,"30,066,648"
49,Nepal,"29,996,478"
50,Yemen,"29,825,968"
51,Cameroon,"26,545,864"
52,Madagascar,"26,251,309"
53,Ivory Coast,"25,823,071"
54,Australia,"25,675,623"
55,North Korea,"25,450,000"
–,Taiwan,"23,604,265"
56,Niger,"22,314,743"
57,Sri Lanka,"21,803,000"
58,Burkina Faso,"20,870,060"
59,Mali,"20,250,833"
60,Romania,"19,405,156"
61,Malawi,"19,129,952"
62,Chile,"19,107,216"
63,Kazakhstan,"18,680,632"
64,Zambia,"17,885,422"
65,Syria,"17,500,657"
66,Ecuador,"17,463,484"
67,Netherlands,"17,454,531"
68,Guatemala,"16,604,026"
69,Chad,"16,244,513"
70,Senegal,"16,209,125"
71,Somalia,"15,893,219"
72,Cambodia,"15,288,489"
73,Zimbabwe,"15,159,624"
74,South Sudan,"12,778,250"
75,Rwanda,"12,374,397"
76,Guinea,"12,218,357"
77,Benin,"11,733,059"
78,Tunisia,"11,722,038"
79,Haiti,"11,577,779"
80,Belgium,"11,524,454"
81,Bolivia,"11,469,896"
82,Cuba,"11,209,628"
83,Burundi,"10,953,317"
84,Greece,"10,724,599"
85,Czech Republic,"10,693,939"
86,Jordan,"10,656,636"
87,Dominican Republic,"10,358,320"
88,Sweden,"10,338,368"
89,Portugal,"10,276,617"
90,Azerbaijan,"10,067,108"
91,United Arab Emirates,"9,890,400"
92,Hungary,"9,772,756"
93,Belarus,"9,408,400"
94,Israel,"9,184,500"
95,Honduras,"9,158,345"
96,Tajikistan,"9,127,000"
97,Papua New Guinea,"8,935,000"
98,Austria,"8,902,600"
99,Switzerland,"8,603,900"
100,Sierra Leone,"7,901,454"
101,Togo,"7,538,000"
–,Hong Kong,"7,500,700"
102,Paraguay,"7,152,703"
103,Laos,"7,123,205"
104,Bulgaria,"7,000,039"
105,Serbia,"6,963,764"
106,Libya,"6,871,287"
107,Lebanon,"6,825,442"
108,Kyrgyzstan,"6,533,500"
109,El Salvador,"6,486,201"
110,Nicaragua,"6,460,411"
111,Turkmenistan,"6,031,187"
112,Denmark,"5,822,763"
113,Singapore,"5,703,600"
114,Finland,"5,527,573"
115,Congo,"5,518,092"
116,Central African Republic,"5,496,011"
117,Slovakia,"5,456,362"
